,SMILES,Tanimoto,Dice,russel_rao,Cluster_R
208,C[C@H](c1c(cncn1)F)[C@@](Cn2cncn2)(c3ccc(cc3F)F)O,0.2040816326530612,0.3389830508474576,0.3389830508474576,6
653,c1ccc2c(c1)nc(n2Cc3ccc(cc3)F)NC4CC[NH2+]CC4,0.2027027027027027,0.3370786516853932,0.3370786516853932,6
678,c1cc2c(nc1)CN(C2=O)Cc3ccc(cc3)F,0.1954887218045112,0.3270440251572327,0.3270440251572327,6
684,CCOc1ccnc(n1)N2CCN(CC2)C(=O)c3c(ccs3)C#N,0.1972789115646258,0.3295454545454545,0.3295454545454545,6
697,c1cc(cnc1)c2csc(n2)c3ccc(cc3)F,0.2213740458015267,0.3625,0.3625,6
756,c1cc(cc(c1)N2CCN(CC2)C(=O)c3cccnc3)C(F)(F)F,0.2323943661971831,0.3771428571428571,0.3771428571428571,6
811,c1ccnc(c1)C(=O)c2cnn3c2nccc3c4ccncc4,0.2068965517241379,0.3428571428571428,0.3428571428571428,6
874,Cc1ccc(cc1)c2cc(nc(c2)c3ccccn3)c4ccccn4,0.2066666666666666,0.3425414364640884,0.3425414364640884,6
936,c1cc(ccc1c2c(n(cn2)C3CC[NH2+]CC3)c4ccnc(n4)N)F,0.2413793103448276,0.3888888888888889,0.3888888888888889,6
942,c1cc(ccc1c2c([nH]cn2)c3ccncc3)F,0.2213740458015267,0.3625,0.3625,6
950,COc1cc(nc2c1c(c([nH]2)c3ccc(cc3)F)c4ccncc4)N,0.2344827586206896,0.3798882681564245,0.3798882681564245,6
956,COc1ccnc(n1)N2CCN(CC2)C(=O)c3cccs3,0.2086330935251798,0.3452380952380952,0.3452380952380952,6
959,Cc1cn2c(n1)Cc3ccc(cc3C(=N2)c4ccc(cc4)N)Cl,0.2013888888888889,0.3352601156069364,0.3352601156069364,6
976,c1ccc2c(c1)nc(n2Cc3ccc(cc3)F)N4CC[NH2+]CC4,0.2411347517730496,0.3885714285714285,0.3885714285714285,6
